111,Lulin,  23.47, 120.87
112,Mace Head,  53.33,  -9.90
113,Macquarie Island, -54.48, 158.97
114,Mahon,  39.87,   4.32
115,Mahe Island,  -4.67,  55.17
116,Mauna Loa,  19.54,-155.58
117,Mawson, -67.62,  62.87
118,McMurdo Station, -77.82, 166.58
119,Memanbetsu,  43.92, 144.20
120,Mikawa-Ichinomiya,  34.85, 137.43
121,Minamitorishima,  24.28, 153.98
122,Monte Cimone,  44.18,  10.70
123,Monte Velho,  38.08,  -8.80
124,Moody,  31.32, -97.32
125,Mould Bay,  76.25,-119.33
126,Mt. Dodaira,  36.00, 139.18
127,Mt. Kenya,  -0.06,  37.30
128,Mt. Waliguan,  36.28, 100.90
129,Nagoya,  35.15, 136.97
130,Neuglobsow,  53.17,  13.03
131,Neumayer, -70.65,  -8.25
132,Niwot Ridge (C-1),  40.04,-105.54
133,Niwot Ridge (Saddle),  40.06,-105.59
134,Niwot Ridge (T-van),  40.05,-105.59
135,Noia,  42.73,  -8.92
136,Ochsenkopf,  50.03,  11.80
137,Olympic Peninsula,  48.25,-124.42
138,Oulanka,  66.32,  29.40
139,Pallas-Sammaltunturi,  67.97,  24.12
140,Palmer Station, -64.92, -64.00
141,Park Falls,  45.92, -90.27
142,Payerne,  46.82,   6.95
143,Penhas Douradas,  40.42,  -7.55
144,Pic du Midi,  42.94,   0.14
145,Plateau Assy,  43.25,  77.87
146,Plateau Rosa,  45.93,   7.70
147,Pleven,  43.42,  24.60
148,Plovdiv,  42.13,  24.75
149,Point Arena,  38.95,-123.72
150,Puszcza Borecka/Diabla Gora,  54.15,  22.07
151,Puy de Dome,  45.77,   2.97
152,Ragged Point,  13.17, -59.43
153,Rigi,  46.07,   8.45
154,Roquetes,  40.82,   0.48
155,Rucava,  56.16,  21.17
156,Ryori,  39.03, 141.82
157,Sable Island,  43.93, -60.02
158,San Lorenzo, -25.37, -57.55
159,San Pablo de los Montes,  39.55,  -4.35
160,Sand Island,  28.20,-177.37
161,Sary Taukum,  44.45,  75.57
162,Saturna,  48.78,-123.13
163,Schauinsland,  47.92,   7.92
164,Sede Boker,  31.12,  34.87
165,Semenic,  45.12,  21.97
166,Shangdianzi,  40.65, 117.12
167,Shemya Island,  52.72, 174.08
168,Shepelevo,  59.97,  29.12
169,Shetland,  60.08,  -1.25
170,Sniezka,  50.73,  15.73
171,Sofia,  42.65,  23.38
172,Sonnblick,  47.05,  12.95
173,South Pole, -89.98, -24.80
174,Southern Great Plains,  36.78, -97.50
175,Stina de Vale,  46.68,  22.62
176,St. Croix,  17.75, -64.75
177,St. David's Head,  32.37, -64.65
178,Stephansplatz,  48.22,  16.38
179,Suita,  34.82, 135.52
180,Summit,  72.58, -38.48
181,Suwalki,  54.13,  22.95
182,Syowa Station, -69.00,  39.58
183,Tae-ahn Peninsula,  36.72, 126.12
184,Takayama,  36.15, 137.42
185,Tanah Rata,   4.47, 101.38
186,Terceira Island,  38.77, -27.37
187,Teriberka,  69.20,  35.10
188,Tierra del Fuego, -54.87, -68.48
189,Trinidad Head,  41.05,-124.15
190,Tsukuba,  36.05, 140.13
191,Tudor Hill,  32.27, -64.87
192,Tutuila, -14.24,-170.57
193,Ulaan Uul,  44.45, 111.08
194,Urawa,  35.87, 139.60
195,Ushuaia, -54.83, -68.30
196,Uto,  59.78,  21.38
197,Varna,  43.20,  27.92
198,Viana do Castelo,  41.70,  -8.80
199,Vindeln,  64.25,  19.77
200,Virolahti,  60.53,  27.67
201,Waldhof,  52.80,  10.77
202,Wank Peak,  47.52,  11.15
203,Wendover,  39.88,-113.72
204,West Branch,  41.72, -91.35
205,Westerland,  54.93,   8.32
206,Yonagunijima,  24.47, 123.02
207,Zabljak,  43.15,  19.13
208,Zavodnje,  46.43,  15.00
209,Zeppelinfjellet (Ny-Alesund),  78.90,  11.88
210,Zingst,  54.43,  12.73
211,Zoseni,  57.08,  25.54
212,Zugspitze,  47.42,  10.98
213,Zugspitze / Schneefernerhaus,  47.42,  10.98
